step    value
1	-41718
2	-41718
3	-41718
4	-41718
5	-41718
6	-41718
7	-41718
8	-41715
9	-41715
10	-41713
11	-41713
12	-41711
13	-41711
14	-41708
15	-41708
16	-41700
17	-41700
18	-41700
19	-41700
20	-41700
21	-41693
22	-41693
23	-41692
24	-41692
25	-41692
26	-41692
27	-41682
28	-41682
29	-41676
30	-41675
31	-41675
32	-41675
33	-41668
34	-41668
35	-41668
36	-41650
37	-41647
38	-41644
39	-41643
40	-41641
41	-41641
42	-41641
43	-41637
44	-41637
45	-41637
46	-41637
47	-41633
48	-41633
49	-41633
50	-41633
51	-41633
52	-41633
53	-41626
54	-41626
55	-41626
56	-41626
57	-41626
58	-41626
59	-41619
60	-41619
61	-41619
62	-41619
63	-41619
64	-41619
65	-41619
66	-41619
67	-41619
68	-41619
69	-41619
70	-41619
71	-41619
72	-41619
73	-41619
74	-41619
75	-41619
76	-41619
77	-41618
78	-41604
79	-41604
80	-41604
81	-41604
82	-41604
83	-41604
84	-41604
85	-41604
86	-41596
87	-41596
88	-41596
89	-41596
90	-41596
91	-41596
92	-41589
93	-41589
94	-41589
95	-41589
96	-41585
97	-41585
98	-41585
99	-41582
100	-41582
